City,Mode,MonthBeginning,DayType,RouteID,RouteName,AverageDailyRidership,Source
Philadelphia,Trackless Trolley,2023-06-01,All,ALL,ALL,8757,Revenue_Estimate
Philadelphia,Trolley,2023-06-01,All,ALL,ALL,43548,APC
Philadelphia,Bus,2023-07-01,All,ALL,ALL,297469,APC
Philadelphia,CCT,2023-07-01,All,ALL,ALL,2921,Revenue
Philadelphia,Heavy Rail,2023-07-01,All,ALL,ALL,129900,Revenue
Philadelphia,Regional Rail,2023-07-01,All,ALL,ALL,61204,Revenue
Philadelphia,Trackless Trolley,2023-07-01,All,ALL,ALL,8734,Revenue_Estimate
Philadelphia,Trolley,2023-07-01,All,ALL,ALL,40544,APC
Philadelphia,Bus,2023-08-01,All,ALL,ALL,307127,APC
Philadelphia,CCT,2023-08-01,All,ALL,ALL,2972,Revenue
Philadelphia,Heavy Rail,2023-08-01,All,ALL,ALL,141078,Revenue
Philadelphia,Regional Rail,2023-08-01,All,ALL,ALL,60123,Revenue
Philadelphia,Trackless Trolley,2023-08-01,All,ALL,ALL,9034,Revenue_Estimate
Philadelphia,Trolley,2023-08-01,All,ALL,ALL,44092,APC
Philadelphia,Bus,2023-09-01,All,ALL,ALL,367249,APC
Philadelphia,CCT,2023-09-01,All,ALL,ALL,3044,Revenue
Philadelphia,Heavy Rail,2023-09-01,All,ALL,ALL,181826,Revenue
Philadelphia,Regional Rail,2023-09-01,All,ALL,ALL,70733,Revenue
Philadelphia,Trackless Trolley,2023-09-01,All,ALL,ALL,11027,Revenue_Estimate
Philadelphia,Trolley,2023-09-01,All,ALL,ALL,50049,APC
Philadelphia,Bus,2023-10-01,All,ALL,ALL,378441,APC
Philadelphia,CCT,2023-10-01,All,ALL,ALL,3095,Revenue
Philadelphia,Heavy Rail,2023-10-01,All,ALL,ALL,192092,Revenue
Philadelphia,Regional Rail,2023-10-01,All,ALL,ALL,74307,Revenue
Philadelphia,Trackless Trolley,2023-10-01,All,ALL,ALL,11875,Revenue_Estimate
Philadelphia,Trolley,2023-10-01,All,ALL,ALL,52658,APC
Philadelphia,Bus,2023-11-01,All,ALL,ALL,368386,APC
Philadelphia,CCT,2023-11-01,All,ALL,ALL,3089,Revenue
Philadelphia,Heavy Rail,2023-11-01,All,ALL,ALL,182370,Revenue
Philadelphia,Regional Rail,2023-11-01,All,ALL,ALL,76946,Revenue
Philadelphia,Trackless Trolley,2023-11-01,All,ALL,ALL,10384,Revenue_Estimate
Philadelphia,Trolley,2023-11-01,All,ALL,ALL,49494,APC
Philadelphia,Bus,2023-12-01,All,ALL,ALL,347255,APC
